"schema","tableName","cols","toIgnore","explCompl","description"
"MS9ABA","ABA0001_SECURITY_MASTER","42",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_20230428","48",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_20230512","48",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_20230515","48",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_20230516","48",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_20230529","48",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_20230601","42",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_R2_20231212","42",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_T","48",,,""
"MS9ABA","ABA0002_FRN_ISSUE","3",,,""
"MS9ABA","ABA0004_RETAIL_BID_TRANS","9",,,""
"MS9ABA","ABA0004_RETAIL_BID_TRANS_20230428","9",,,""
"MS9ABA","ABA0004_RETAIL_BID_TRANS_BKP","9",,,""
"MS9ABA","ABA0005_RSA_TEXT_ENC_TRANS","15",,,""
"MS9ABA","ABA0005_RSA_TEXT_ENC_TRANS_20230428","15",,,""
"MS9ABA","ABA0006_AUCTION_RESULT","7",,,""
"MS9ABA","ABA0006_AUCTION_RESULT_20230428","7",,,""
"MS9ABA","ABA0007_DETAIL_AUCTION_RESULT","24",,,""
"MS9ABA","ABA0007_DETAIL_AUCTION_RESULT_20230428","24",,,""
"MS9ABA","ABA0008_STAGE_SECURITY_MASTER","41",,,""
"MS9ABA","ABA0009_BANK_MASTER","5",,,""
"MS9ABA","ABA0009_BANK_MASTER_BKUP","5",,,""
"MS9ABA","ABA0009_BANK_MASTER_BKUP1","5",,,""
"MS9ABA","ABA0009_BANK_MASTER_BKUP2","5",,,""
"MS9ABA","ABA0009_BANK_MASTER_BKUP3","5",,,""
"MS9ABA","ABA0009_BANK_MASTER_BKUP4","5",,,""
"MS9ABA","ABA0010_ANNOUNCE_TEXT","4",,,""
"MS9ABA","ABA0011_DAILY_PRICE","11",,,""
"MS9ABA","ABA0012_DP_STATUS","5",,,""
"MS9ABA","ABA0013_PRIMARY_DEALER","4",,,""
"MS9ABA","ABA0015_PRICE_SPREAD","7",,,""
"MS9ABA","ABA0016_DAILY_EXTRA_DATA","7",,,""
"MS9ABA","ABA0017_FINAL_DAILY_PRICE","23",,,""
"MS9ABA","ABA0018_FINAL_EXTRA_PRICE","6",,,""
"MS9ABA","ABA0019_PUBLIC_HOLIDAY","4",,,""
"MS9ABA","ABA0020_STAGING_BANK_MASTER","5",,,""
"MS9ABA","ABA0021_ISSUE_CALENDAR","13",,,""
"MS9ABA","ABA0022_NON_BENCHMARK","3",,,""
"MS9ABA","ABA0022_NON_BENCHMARK_20230428","3",,,""
"MS9ABA","ABA0023_AUDIT_ACTION","4",,,""
"MS9ABA","ABA0024_USER_SESSION","3",,,""
"MS9ABA","ABA0025_OUTSTANDING_SGS","6",,,""
"MS9ABA","ABA0026_OUTSTANDING_MAS","8",,,""
"MS9ABA","ABA0027_BATCH_JOB","5",,,""
"MS9ABA","ABA0028_BATCH_JOB_EXECUTION","9",,,""
"MS9ABA","ABA0029_SORA_RATE","14",,,""
"MS9ABA","ABA0029_SORA_RATE_20230427","14",,,""
"MS9ABA","ABA0029_SORA_RATE_BKP_20220905","14",,,""
"MS9ABA","ABA0029_SORA_RATE_BKUP","14",,,""
"MS9ABA","ABA0030_CORP_PASS_MAPPING","8",,,""
"MS9ABA","ABA0031_OUTSTANDING_FRN","11",,,""
"MS9ABA","ABA0031_OUTSTANDING_FRN_BKP","11",,,""
"MS9ABA","ABA0032_EAPPS_CONFIG","2",,,""
"MS9ABA","ABA0033_ISSUANCE_REDEMPT_SGS","6",,,""
"MS9ABA","ABA0033_ISSUANCE_REDEMPT_SGS_BKP","6",,,""
"MS9ABA","ABA0034_EAPPS_SUBMISSION_CUTOFF_TIME","6",,,""
"MS9ABA","ABA0034_STG_SC_SECURITY_MASTER","48",,,""
"MS9ABA","ABA0035_RETAILBID_FILE","8",,,""
"MS9ABA","ABA0035_RETAILBID_FILE_TMP","8",,,""
"MS9ABA","ABA0036_STAGE_SORA_AMMO","12",,,""
"MS9ABA","ABA0036_STAGE_SORA_AMMO_T","12",,,""
"MS9ABA","ABA0101_SB_SECURITY_MASTER","30",,,""
"MS9ABA","ABA0101_SB_SECURITY_MASTER_T","36",,,""
"MS9ABA","ABA0108_SB_STAGE_SEC_MASTER","30",,,""
"MS9ABA","ABA0110_SB_ANNOUNCE_TEXT","4",,,""
"MS9ABA","ABA0121_SB_ISSUE_CALENDAR","12",,,""
"MS9ABA","ABA0124_SB_COUPON_RATE_DETAILS","6",,,""
"MS9ABA","ABA0125_SB_STAGE_COUPON_RATE","4",,,""
"MS9ABA","ABA0126_SB_REDEMPTION_RESULT","4",,,""
"MS9ABA","ABA0127_SB_SYSTEM_CONFIG","4",,,""
"MS9ABA","ABA0134_STG_SB_SC_SEC_MASTER","36",,,""
"MS9ABA","ABA0214_SB_CD_FILE_TYPE","5",,,""
"MS9ABA","ABA0222_SB_ORG","11",,,""
"MS9ABA","ABA0223_SB_PGP_CONFIG","2",,,""
"MS9ABA","ABA0501_ENCRYPTED_REPO_TRANS","7",,,""
"MS9ABA","ABA0502_PUB_KEY","3",,,""
"MS9ABA","ABA0503_OPEN_ISSUES","7",,,""
"MS9ABA","ABA0504_AUCTION_SUMMARY","15",,,""
"MS9ABA","ABA0505_AUCTION_DETAILS","21",,,""
"MS9ABA","ABA0506_SYSTEM_PARM","3",,,""
"MS9ABA","ABA0507_SPLIT_BIDS","4",,,""
"MS9ABA","ABA0601_ENCRYPTED_REPO_TRANS","10",,,""
"MS9ABA","ABA0603_OPEN_ISSUES","4",,,""
"MS9ABA","ABA0605_TRADE_DETAILS","28",,,""
"MS9ABA","ABA0606_SYSTEM_PARM","6",,,""
"MS9ABA","ABA0607_SPLIT_BIDS","4",,,""
"MS9ABA","ABA0608_LEGAL_LOG","2",,,""
"MS9ABA","ABA0610_REJECTED_ISSUES","4",,,""
"MS9ABA","ABA2000_TASK_REGISTRY","3",,,""
"MS9ABA","AQA0001_LIMIT","5",,,""
"MS9ABA","AQA0002_TRANSACTION","33",,,""
"MS9ABA","AQA0002_TRANSACTION_20230428","33",,,""
"MS9ABA","AQA0005_REPORT_COUNTER","3",,,""
"MS9ABA","AQA0006_EAPPS_TRANSACTION","33",,,""
