"schema","tableName","cols","toIgnore","explCompl","description"
"MS9ABA","ABA0001_SECURITY_MASTER","42",,,"(Add purpose)"
"MS9ABA","ABA0001_SECURITY_MASTER_20230515","48",,,"(Add purpose)"
"MS9ABA","ABA0001_SECURITY_MASTER_20230516","48",,,""
"MS9ABA","ABA0001_SECURITY_MASTER_R2_20231212","42",,,"(Add purpose)"
"MS9ABA","ABA0006_AUCTION_RESULT","7",,,"(Add purpose)"
"MS9ABA","ABA0007_DETAIL_AUCTION_RESULT","24",,,""
"MS9ABA","ABA0008_AUCTION_AUDIT_LOG","3",,,""
"MS9ABA","ABA0009_EAUCTION_CONFIG","2",,,""
"MS9ABA","ABA0009_EAUCTION_CONFIG_TMP","2",,,""
"MS9ABA","ABA0010_EAUCTION_AUCTION_CUTOFF_TIME","6",,,""
"MS9ABA","ABA0035_SECURITY_MASTER_CTG_STG","19",,,""
"MS9ABA","ABA0036_RETAILBID_FILE","5",,,""
"MS9ABA","ABA0212_SB_REPORT","3",,,""
"MS9ABA","ABA0213_SB_REPORT_FILE","8",,,""
"MS9ABA","ABA0214_SB_CD_FILE_TYPE","5",,,""
"MS9ABA","ABA0215_SB_CD_FILE_STATUS","2",,,""
"MS9ABA","ABA0216_SB_CD_RECORD_STATUS","2",,,""
"MS9ABA","ABA0217_SB_CD_NATION","2",,,""
"MS9ABA","ABA0218_SB_CD_NATION_CTY","2",,,""
"MS9ABA","ABA0219_SB_CD_FILE_ERROR_DESC","2",,,""
"MS9ABA","ABA0220_SB_CD_RECORD_ERR_DESC","2",,,""
"MS9ABA","ABA0221_SB_CD_BATCHJOB_STATUS","2",,,""
"MS9ABA","ABA0222_SB_ORG","11",,,""
"MS9ABA","ABA0223_SB_APPLICANT","7",,,""
"MS9ABA","ABA0224_SB_SUBSCRIPT","18",,,""
"MS9ABA","ABA0224_SB_SUBSCRIPT_BKUP","18",,,""
"MS9ABA","ABA0225_SB_SUBSCRIPT_DT","26",,,""
"MS9ABA","ABA0225_SB_SUBSCRIPT_DT_BKUP","26",,,""
"MS9ABA","ABA0226_SB_SUBSCRIPT_DT_ERR","27",,,""
"MS9ABA","ABA0226_SB_SUBSCRIPT_DT_ERR_BKUP","27",,,""
"MS9ABA","ABA0227_SB_REDEMPTION","13",,,""
"MS9ABA","ABA0227_SB_REDEMPTION_BKUP","13",,,""
"MS9ABA","ABA0228_SB_REDEMPTION_DT","27",,,""
"MS9ABA","ABA0228_SB_REDEMPTION_DT_BKUP","27",,,""
"MS9ABA","ABA0229_SB_REDEMPTION_DT_ERR","29",,,""
"MS9ABA","ABA0229_SB_REDEMPTION_DT_ERR_BKUP","29",,,""
"MS9ABA","ABA0230_SB_HLD_INFO","13",,,""
"MS9ABA","ABA0230_SB_HLD_INFO_BKUP","13",,,""
"MS9ABA","ABA0231_SB_HLD_INFO_DT","10",,,""
"MS9ABA","ABA0231_SB_HLD_INFO_DT_BACKUP","10",,,""
"MS9ABA","ABA0231_SB_HLD_INFO_DT_BKUP","10",,,""
"MS9ABA","ABA0232_SB_ALLOTMENT_RESULT","10",,,""
"MS9ABA","ABA0232_SB_ALLOTMENT_RESULT_BKUP","10",,,""
"MS9ABA","ABA0233_SB_BATCH_JOB","5",,,""
"MS9ABA","ABA0233_SB_BATCH_JOB_BKUP","5",,,""
"MS9ABA","ABA0234_SB_BATCH_JOB_EXECUTION","9",,,""
"MS9ABA","ABA0234_SB_BATCH_JOB_EXECUTION_BKUP","9",,,""
"MS9ABA","ABA0235_SB_SUBMISSION_SUMMARY","11",,,""
"MS9ABA","ABA0235_SB_SUBMISSION_SUMMARY_BKUP","11",,,""
"MS9ABA","ABA0236_SB_HLD_INFO_DT_ERR","14",,,""
"MS9ABA","ABA0236_SB_HLD_INFO_DT_ERR_BKUP","14",,,""
"MS9ABA","ABA0237_SB_USER","3",,,""
"MS9ABA","ABA0238_SB_LEVEL_ACTION","3",,,""
"MS9ABA","ABA0239_SB_ACTION_REF","3",,,""
"MS9ABA","ABA0240_SB_CD_SUBMISSION_TYPE","2",,,""
"MS9ABA","ABA0241_SB_RESULT_FILE","7",,,""
"MS9ABA","ABA0241_SB_RESULT_FILE_BKUP","7",,,""
"MS9ABA","ABA0250_SB_AUDIT_LOG","5",,,""
"MS9ABA","ABA0250_SB_AUDIT_LOG_BKUP","5",,,""
"MS9ABA","ABA0251_SB_CONT_MAKE_CHECK","14",,,""
"MS9ABA","ABA0252_SB_SYSCONF_MAKE_CHECK","12",,,""
"MS9ABA","ABA0282_SB_CD_APPLICATION_TYPE","2",,,""
"MS9ABA","ABA0283_SB_COUPON_RESULT_FILE","12",,,""
"MS9ABA","ABA0284_SB_PORTAL_SYNC","3",,,""
"MS9ABA","ABA0284_SB_PORTAL_SYNC_BK","3",,,""
"MS9ABA","ABA0285_SB_USER_SESSION","3",,,""
"MS9ABA","ABA233_SB_BATCH_JOB_BKUP","5",,,""
"MS9ABA","AQA0001_LIMIT","5",,,""
"MS9ABA","AQA0002_TRANSACTION","34",,,""
"MS9ABA","AQA0002_TRANSACTION_15_11","34",,,""
"MS9ABA","AQA0002_TRANSACTION_20231209","34",,,""
"MS9ABA","AQA0002_TRANSACTION_BKP_10_11","34",,,""
"MS9ABA","AQA0003_USER","4",,,""
"MS9ABA","AQA0004_LEVEL_ACTION","3",,,""
"MS9ABA","AQA0005_REPORT_COUNTER","3",,,""
"MS9ABA","AQA0006_EAPPS_TRANSACTION","37",,,""
"MS9ABA","AQA0007_COPY_SEC_MASTER_IND","3",,,""
"MS9ABA","AQA0008_SEC_AUCTION_PARA","10",,,""
"MS9ABA","AQA0009_SEC_AUCTION_PARA_CTG_STG","6",,,""
"MS9ABA","AQA0010_ACTION_REF","3",,,""
"MS9ABA","AQA0011_USER_SESSION","3",,,""
"MS9ABA","AQA0012_SYNDICATION_INS_RET_DT","15",,,""
"MS9ABA","AQA0013_SYNDICATION_COUPON_DT","14",,,""
"MS9ABA","AQA0014_SYNDICATION_RPT_COUNT","3",,,""
"MS9ABA","AQA0015_COPY_SYND_SEC_MAST_IND","3",,,""
"MS9ABA","AQA0016_SYNDICATED_SEC_MAST_DT","21",,,""
"MS9ABA","AQA0017_AUCTION_IND","4",,,""
"MS9ABA","AQA0017_AUCTION_IND_20230817","2",,,""
"MS9ABA","AQA0018_RETAIL_BID_PROC_IND","2",,,""
"MS9ABA","AQA0018_RETAIL_BID_PROC_TMP","2",,,""
"MS9ABA","AQA0019_AUCTION_REPORT_IND","3",,,""
"MS9ABA","AQA0020_AUCTION_RESULTS_REPORT","37",,,""
"MS9ABA","AQA0020_AUCTION_RESULTS_REPORT_20231115","37",,,""
"MS9ABA","AQA0021_AUCTION_RESULTS_REPORT_CTG_STG","9",,,""
"MS9ABA","AQA0101_REPO_TRANS","23",,,""
"MS9ABA","AQA0102_USER","4",,,""
"MS9ABA","AQA0103_PRIVATE_KEY","3",,,""
"MS9ABA","AQA0104_ERF_SYSTEM_PARM","6",,,""
"MS9ABA","AQA0104_SYSTEM_PARM","4",,,""
"MS9ABA","AQA0105_CYCLE","3",,,""
"MS9ABA","AQA0105_ERF_CYCLE","3",,,""
"MS9ABA","AQA0107_AUDIT_LOG","4",,,""
"MS9ABA","AQA0107_ERF_AUDIT_LOG","4",,,""
"MS9ABA","AQA0108_ERF_LOG_DETAIL","2",,,""
"MS9ABA","AQA0108_LOG_DETAIL","2",,,""
"MS9ABA","AQA0109_HAIRCUT_SETTINGS","3",,,""
"MS9ABA","AQA0111_CANCEL_TRADE","7",,,""
"MS9ABA","AQA0112_DUR_RATE","5",,,""
"MS9ABA","AQA0113_USER_SESSION","3",,,""
"MS9ABA","BATCH_JOB_EXECUTION","11",,,""
"MS9ABA","BATCH_JOB_EXECUTION_CONTEXT","3",,,""
"MS9ABA","BATCH_JOB_EXECUTION_PARAMS","8",,,""
"MS9ABA","BATCH_JOB_INSTANCE","4",,,""
"MS9ABA","BATCH_STEP_EXECUTION","18",,,""
"MS9ABA","BATCH_STEP_EXECUTION_CONTEXT","3",,,""
"MS9ABA","TEMP_AFTERDBEXPORT","1",,,""
"MS9ABA","TEMP1","2",,,""
"MS9ABA","TEST_DB_DUMP","1",,,""
"MS9ABA","TESTSYNC","4",,,""
"MS9ABA","TMP_CALL_CENTRE","3",,,""
